platform,wallet,nickname,rank,score,pnl,roi_pct,win_rate_pct,tx,estimated_wins,estimated_losses,estimated_loss_rate_pct,top_token_wins,top_token_losses,pnl_history_change,pnl_history_max_drawdown,top_tokens,profile_url
okx_web3,F1QnFe6UG7Lawq7Af1n9JK9urFnqYc1TXDhfKfV8jnCu,F1QnFe6UG7,127,16.2935,3670.874492,29.613662,79.4118,465,369.26,95.74,20.5882,3,0,1020.0,-121.0,SWITZERLND|CANADA|NETHERLAND,https://web3.okx.com/portfolio/F1QnFe6UG7Lawq7Af1n9JK9urFnqYc1TXDhfKfV8jnCu/analysis?chainIndex=501
okx_web3,8DJEuRMd8nFEmLjgy8VeZ6uLijwG8fkpjEj2MACpTZKM,8DJEuRMd8n,25,16.2437,1514.609446,174.257319,100.0,24,24.0,0.0,0.0,3,0,229.0,0.0,POKEHUB|ABEL|GOAL,https://web3.okx.com/portfolio/8DJEuRMd8nFEmLjgy8VeZ6uLijwG8fkpjEj2MACpTZKM/analysis?chainIndex=501
okx_web3,3KsusBEDBpcPsmpgAdsseMsWGM1gfaCjky6TkVVwkhR9,3KsusBEDBp,108,16.2331,4285.413541,137.288828,50.0,1060,530.0,530.0,50.0,1,0,1747.0,0.0,AAIF,https://web3.okx.com/portfolio/3KsusBEDBpcPsmpgAdsseMsWGM1gfaCjky6TkVVwkhR9/analysis?chainIndex=501
okx_web3,AgTM7bcPQo2kkru8o2igeiwbAjJY2bubEHHZUQPRhyqG,AgTM7bcPQo,48,16.2252,3600.382368,6.906771,65.1332,1855,1208.22,646.78,34.8668,3,0,496.0,-147.0,Tagoh|pibble|Jotchua,https://web3.okx.com/portfolio/AgTM7bcPQo2kkru8o2igeiwbAjJY2bubEHHZUQPRhyqG/analysis?chainIndex=501
okx_web3,CqpAZCxFcppL6uvCMvkU97FW3gpdjtKFSTtzDYnrk3jf,CqpAZCxFcp,57,16.1937,2195.229591,504.286883,33.3333,12,4.0,8.0,66.6667,1,0,2210.0,0.0,KINS,https://web3.okx.com/portfolio/CqpAZCxFcppL6uvCMvkU97FW3gpdjtKFSTtzDYnrk3jf/analysis?chainIndex=501
okx_web3,8SuWWfTG2aU4RA93yZ1tr1H2nidrimupf8toq32BdtQJ,8SuWWfTG2a,18,16.1903,12536.012703,208.628523,27.5,201,55.27,145.73,72.5,3,0,457.0,-506.0,Jotchua|LMEOW|清正,https://web3.okx.com/portfolio/8SuWWfTG2aU4RA93yZ1tr1H2nidrimupf8toq32BdtQJ/analysis?chainIndex=501
okx_web3,5BxootbxVKu7uYLRRusSD7GR5srM3iHFfBE6rr5eRXb4,5BxootbxVK,16,16.1892,12842.747189,11.554062,37.0558,2036,754.46,1281.54,62.9442,3,0,626.0,-1827.0,HUNTER|KINS|Bountywork,https://web3.okx.com/portfolio/5BxootbxVKu7uYLRRusSD7GR5srM3iHFfBE6rr5eRXb4/analysis?chainIndex=501
okx_web3,2g8hUof38PFsdVRYfwtCwbYWoEw4rvtfbX1nsaxRabPn,2g8hUof38P,35,16.1434,8786.81218,71.832485,66.6667,87,58.0,29.0,33.3333,3,0,-3899.0,-3899.0,three|PARQ|JACK,https://web3.okx.com/portfolio/2g8hUof38PFsdVRYfwtCwbYWoEw4rvtfbX1nsaxRabPn/analysis?chainIndex=501
okx_web3,9DwWCpK9PWu4CS6xbYab2rot3VqAAxqnExfw8xUgYrRA,9DwWCpK9PW,77,16.1326,942.386386,213.866051,100.0,26,26.0,0.0,0.0,3,0,129.0,-34.0,POKEHUB|POKEHUB|ABEL,https://web3.okx.com/portfolio/9DwWCpK9PWu4CS6xbYab2rot3VqAAxqnExfw8xUgYrRA/analysis?chainIndex=501
okx_web3,AoZ74CzdUHekKGsmLkaLnJjjkjgZsS57HXXyvUT8rMrE,AoZ74CzdUH,25,16.132,10656.942292,32.451357,50.8772,583,296.61,286.39,49.1228,3,0,-1947.0,-4339.0,GO|SLAB|KINS,https://web3.okx.com/portfolio/AoZ74CzdUHekKGsmLkaLnJjjkjgZsS57HXXyvUT8rMrE/analysis?chainIndex=501
okx_web3,CVj4j7mXrwJpUC3R33KmA48LwFoVekLfd6y5tru6P5c1,CVj4j7mXrw,84,16.1027,942.090436,389.506432,66.6667,20,13.33,6.67,33.3333,2,0,-27.0,-27.0,Lifemaxxing|LarpTube,https://web3.okx.com/portfolio/CVj4j7mXrwJpUC3R33KmA48LwFoVekLfd6y5tru6P5c1/analysis?chainIndex=501
