signal,side,entry_time,exit_time,entry,exit,pnl_pct,funding,oi_change_24h,ret_24h,trend
global_longs_crowded_short,short,2026-05-29 20:00:00,2026-05-30 20:00:00,73460.78,73884.38,-0.8166342257732759,6.702e-05,-0.022898045556549507,-0.0021289771957785364,down
global_longs_crowded_short,short,2026-05-30 00:00:00,2026-05-31 00:00:00,73524.01,74150.64,-1.0922794118547283,3.464e-05,-0.01609411574151076,0.0030352713013317434,down
global_longs_crowded_short,short,2026-05-30 04:00:00,2026-05-31 04:00:00,73548.6,73871.24,-0.6786759231310933,3.464e-05,-0.020465883589500744,0.00027254715718627587,down
global_longs_crowded_short,short,2026-05-30 08:00:00,2026-05-31 08:00:00,73602.02,73937.79,-0.696196718513957,4.732e-05,-0.01701976583792497,0.001551818406221095,down
global_longs_crowded_short,short,2026-05-30 12:00:00,2026-05-31 12:00:00,73930.14,73655.21,0.1318781000549898,4.732e-05,-0.020103349890716604,0.0016513056939697623,down
global_longs_crowded_short,short,2026-06-01 08:00:00,2026-06-02 08:00:00,72479.99,69461.72,3.924280375866503,4.438e-05,0.011646851683412951,-0.019716575245216084,down
global_longs_crowded_short,short,2026-06-01 12:00:00,2026-06-02 12:00:00,71129.62,67304.28,5.137984586449358,4.438e-05,0.012066395331961077,-0.03428935984297665,down
global_longs_crowded_short,short,2026-06-01 16:00:00,2026-06-02 16:00:00,71595.24,67315.14,5.738190728880861,0.0001,0.00250618441173156,-0.026754873549924563,down
global_longs_crowded_short,short,2026-06-01 20:00:00,2026-06-02 20:00:00,71408.9,66760.83,6.269090603552203,0.0001,0.0005984007877330999,-0.030750034034893292,down
global_longs_crowded_short,short,2026-06-02 00:00:00,2026-06-03 00:00:00,70953.69,65849.9,6.953128363021017,0.0001,0.008147844526646963,-0.03816464517780216,down
global_longs_crowded_short,short,2026-06-02 04:00:00,2026-06-03 04:00:00,70118.42,67220.03,3.8935643330240426,0.0001,0.006720697925859831,-0.037072976461863805,down
global_longs_crowded_short,short,2026-06-02 08:00:00,2026-06-03 08:00:00,69461.72,67067.37,3.207006495088234,5.99e-05,-0.0021513359759666173,-0.041642803758665026,down
global_longs_crowded_short,short,2026-06-02 12:00:00,2026-06-03 12:00:00,67304.28,66076.01,1.584950805505987,5.99e-05,0.03341200472849026,-0.05377984586449358,down
global_longs_crowded_short,short,2026-06-02 16:00:00,2026-06-03 16:00:00,67315.14,65462.0,2.5129319555749223,8.345e-05,0.05185973467398197,-0.05978190728880861,down
global_longs_crowded_short,short,2026-06-02 20:00:00,2026-06-03 20:00:00,66760.83,64142.75,3.6815809629688627,8.345e-05,0.018450646177046615,-0.06509090603552203,down
global_longs_crowded_short,short,2026-06-03 00:00:00,2026-06-04 00:00:00,65849.9,64363.49,2.017269942703022,7.165e-05,0.025398030827874063,-0.07193128363021017,down
global_longs_crowded_short,short,2026-06-03 04:00:00,2026-06-04 04:00:00,67220.03,63603.15,5.1406581163382326,7.165e-05,0.005823244279998585,-0.041335643330240424,down
global_longs_crowded_short,short,2026-06-03 08:00:00,2026-06-04 08:00:00,67067.37,62545.99,6.501549579176875,5.229e-05,0.014687090982862916,-0.03447006495088234,down
global_longs_crowded_short,short,2026-06-03 12:00:00,2026-06-04 12:00:00,66076.01,63896.17,3.0589885436484403,5.229e-05,-0.005289520940167214,-0.01824950805505987,down
global_longs_crowded_short,short,2026-06-03 16:00:00,2026-06-04 16:00:00,65462.0,63629.38,2.559517277198993,0.0001,-0.04862136347392709,-0.02752931955574922,down
global_longs_crowded_short,short,2026-06-03 20:00:00,2026-06-04 20:00:00,64142.75,63885.99,0.1602946552806086,0.0001,-0.024935762233316505,-0.039215809629688625,down
global_longs_crowded_short,short,2026-06-04 00:00:00,2026-06-05 00:00:00,64363.49,62730.0,2.2979139633354255,2.705e-05,-0.06289754736400355,-0.02257269942703022,down
global_longs_crowded_short,short,2026-06-04 04:00:00,2026-06-05 04:00:00,63603.15,63115.99,0.5259369072129385,2.705e-05,-0.05465378674226884,-0.05380658116338233,down
global_longs_crowded_short,short,2026-06-04 08:00:00,2026-06-05 08:00:00,62545.99,61964.99,0.6889164661075766,1.519e-05,-0.04390839128687618,-0.06741549579176875,down
global_longs_crowded_short,short,2026-06-04 12:00:00,2026-06-05 12:00:00,63896.17,60438.01,5.172155376449002,1.519e-05,-0.07238448486137405,-0.0329898854364844,down
global_longs_crowded_short,short,2026-06-04 16:00:00,2026-06-05 16:00:00,63629.38,60300.24,4.992079897682484,-1.077e-05,-0.027787154437162176,-0.02799517277198993,down
global_longs_crowded_short,short,2026-06-04 20:00:00,2026-06-05 20:00:00,63885.99,61056.47,4.189014874779269,-1.077e-05,-0.047359552014572204,-0.004002946552806086,down
global_longs_crowded_short,short,2026-06-05 00:00:00,2026-06-06 00:00:00,62730.0,60687.04,3.016751155746851,1.315e-05,-0.02426016348876714,-0.025379139633354253,down
global_longs_crowded_short,short,2026-06-05 04:00:00,2026-06-06 04:00:00,63115.99,61004.95,3.1046991800334616,1.315e-05,-0.004249624101822502,-0.007659369072129385,down
global_longs_crowded_short,short,2026-06-05 08:00:00,2026-06-06 08:00:00,61964.99,60802.91,1.6353815662682971,-1.431e-05,-0.048763271396952024,-0.009289164661075766,down
global_longs_crowded_short,short,2026-06-05 12:00:00,2026-06-06 12:00:00,60438.01,60784.0,-0.8124708672572021,-1.431e-05,-0.00512065790765015,-0.054121553764490016,down
global_longs_crowded_short,short,2026-06-05 16:00:00,2026-06-06 16:00:00,60300.24,60600.01,-0.7371290329856215,-8.63e-06,0.01900715109369444,-0.052320798976824845,down
global_longs_crowded_short,short,2026-06-05 20:00:00,2026-06-06 20:00:00,61056.47,60884.62,0.04146075264422479,-8.63e-06,0.033668233549105864,-0.04429014874779269,down
global_longs_crowded_short,short,2026-06-06 00:00:00,2026-06-07 00:00:00,60687.04,61701.07,-1.9109168876913427,-1.234e-05,0.02769825009283977,-0.03256751155746851,down
global_longs_crowded_short,short,2026-06-07 16:00:00,2026-06-08 16:00:00,61328.0,63372.01,-3.5729148186798994,2.742e-05,-0.005068590840181519,0.012013034321281424,down
global_longs_crowded_short,short,2026-06-09 16:00:00,2026-06-10 16:00:00,62098.09,61942.44,0.01065183164247886,6.06e-06,0.016286410531898943,-0.020102250189003135,down
global_longs_crowded_short,short,2026-06-09 20:00:00,2026-06-10 20:00:00,61730.0,61510.99,0.11478697553863461,6.06e-06,0.005735166237300637,-0.021494312762627588,down
global_longs_crowded_short,short,2026-06-10 00:00:00,2026-06-11 00:00:00,61549.64,62732.01,-2.161002299932217,3.65e-06,0.02035127795561542,-0.021081931070723092,down
top_longs_crowded_short,short,2026-05-18 08:00:00,2026-05-19 08:00:00,77285.83,76714.62,0.4990876180019102,5.778e-05,0.005269966713299157,-0.01441236666144241,down
top_longs_crowded_short,short,2026-05-18 12:00:00,2026-05-19 12:00:00,76409.46,76521.23,-0.3862776991225878,5.778e-05,0.02201301883585227,-0.021036775632880866,down
top_longs_crowded_short,short,2026-05-18 16:00:00,2026-05-19 16:00:00,76928.0,76818.74,-0.09797108985026147,7.178e-05,0.030275305652795348,-0.018966961804647853,down
top_longs_crowded_short,short,2026-05-18 20:00:00,2026-05-19 20:00:00,77001.87,76834.36,-0.022459828573000204,7.178e-05,0.019304258534135643,-0.005884504400919921,down
top_longs_crowded_short,short,2026-05-20 08:00:00,2026-05-21 08:00:00,77382.49,77189.1,0.009914418623642408,7.983e-05,-0.014019203388323187,0.008705902473348681,down
top_longs_crowded_short,short,2026-05-20 12:00:00,2026-05-21 12:00:00,77455.46,77259.46,0.013048655317522652,7.983e-05,-0.04305353160988423,0.01220876872993304,down
top_longs_crowded_short,short,2026-05-21 16:00:00,2026-05-22 16:00:00,77690.56,75860.44,2.1156529905306325,6.13e-05,-0.008302405350377962,0.00029703547777826245,sideway
top_longs_crowded_short,short,2026-05-23 16:00:00,2026-05-24 16:00:00,75983.45,76773.34,-1.2795553242186217,7.441e-05,0.004290117555052264,0.0016215302732227599,down
top_longs_crowded_short,short,2026-05-24 00:00:00,2026-05-25 00:00:00,76750.0,77026.67,-0.6004820846905499,9.044e-05,-0.024122690487655807,0.014738900739629024,down
top_longs_crowded_short,short,2026-05-25 00:00:00,2026-05-26 00:00:00,77026.67,76664.01,0.2308239366962186,6.549e-05,-0.034256823059936825,0.0036048208469054988,sideway
top_longs_crowded_short,short,2026-05-26 04:00:00,2026-05-27 04:00:00,76730.84,75977.17,0.7422256605036439,8.058e-05,-0.010593954914878134,-0.008659823010312984,sideway
top_longs_crowded_short,short,2026-05-27 00:00:00,2026-05-28 00:00:00,75683.0,73258.01,2.964140956357449,0.0001,-0.00045246496521589297,-0.012796226025745261,down
top_longs_crowded_short,short,2026-05-27 04:00:00,2026-05-28 04:00:00,75977.17,73498.0,3.02304599131555,0.0001,0.015370357577200622,-0.009822256605036439,down
top_longs_crowded_short,short,2026-05-27 08:00:00,2026-05-28 08:00:00,75769.18,73505.66,2.7473888037325827,8.948e-05,0.024057356770117,-0.018324759615229058,down
top_longs_crowded_short,short,2026-05-27 12:00:00,2026-05-28 12:00:00,75326.01,72928.73,2.942539470761825,8.948e-05,0.05925675253117069,-0.015579189760331347,down
top_longs_crowded_short,short,2026-05-27 16:00:00,2026-05-28 16:00:00,75066.08,73419.32,1.953747162500015,9.914e-05,0.03837782806929013,-0.012963761636774818,down
top_longs_crowded_short,short,2026-05-27 20:00:00,2026-05-28 20:00:00,74449.3,73617.51,0.8772569789104858,9.914e-05,0.018146889123590526,-0.019500985183592,down
top_longs_crowded_short,short,2026-05-28 00:00:00,2026-05-29 00:00:00,73258.01,73301.52,-0.2993928227097695,0.0001,0.015888912947971345,-0.032041409563574486,down
top_longs_crowded_short,short,2026-05-28 04:00:00,2026-05-29 04:00:00,73498.0,73528.56,-0.2815793627037475,0.0001,0.037224139404212764,-0.032630459913155496,down
top_longs_crowded_short,short,2026-05-28 16:00:00,2026-05-29 16:00:00,73419.32,73520.28,-0.37751148880156715,0.0001,0.03680985444182383,-0.02193747162500015,down
top_longs_crowded_short,short,2026-05-28 20:00:00,2026-05-29 20:00:00,73617.51,73460.78,-0.027102280422146338,0.0001,0.05659904371420321,-0.011172569789104858,down
top_longs_crowded_short,short,2026-05-29 00:00:00,2026-05-30 00:00:00,73301.52,73524.01,-0.5435271301331743,0.0001,0.047340858175022316,0.0005939282270976953,down
top_longs_crowded_short,short,2026-05-29 04:00:00,2026-05-30 04:00:00,73528.56,73548.6,-0.2672547157186276,0.0001,0.016073696274155447,0.00041579362703747513,down
top_longs_crowded_short,short,2026-06-01 16:00:00,2026-06-02 16:00:00,71595.24,67315.14,5.738190728880861,0.0001,0.00250618441173156,-0.026754873549924563,down
top_longs_crowded_short,short,2026-06-01 20:00:00,2026-06-02 20:00:00,71408.9,66760.83,6.269090603552203,0.0001,0.0005984007877330999,-0.030750034034893292,down
top_longs_crowded_short,short,2026-06-02 00:00:00,2026-06-03 00:00:00,70953.69,65849.9,6.953128363021017,0.0001,0.008147844526646963,-0.03816464517780216,down
top_longs_crowded_short,short,2026-06-02 04:00:00,2026-06-03 04:00:00,70118.42,67220.03,3.8935643330240426,0.0001,0.006720697925859831,-0.037072976461863805,down
top_longs_crowded_short,short,2026-06-02 16:00:00,2026-06-03 16:00:00,67315.14,65462.0,2.5129319555749223,8.345e-05,0.05185973467398197,-0.05978190728880861,down
top_longs_crowded_short,short,2026-06-03 16:00:00,2026-06-04 16:00:00,65462.0,63629.38,2.559517277198993,0.0001,-0.04862136347392709,-0.02752931955574922,down
top_longs_crowded_short,short,2026-06-03 20:00:00,2026-06-04 20:00:00,64142.75,63885.99,0.1602946552806086,0.0001,-0.024935762233316505,-0.039215809629688625,down
