timestamp,open,high,low,close,volume,funding,oi_btc,oi_usd,global_long,global_short,global_lsr,top_position_long,top_position_short,top_position_lsr,top_account_long,top_account_short,top_account_lsr,taker_buy_sell_ratio,taker_buy_vol,taker_sell_vol,ret_1,ret_24h,ret_48h,range_24h,volatility_24h,funding_ma_24h,funding_z_30d,funding_prev,funding_prev2,oi_change_24h,oi_change_48h,oi_z_30d,taker_buy_sell_z,ema_20,ema_50,ema_slope_24h,trend,h9_crowded_long_short,h9_crowded_short_long,funding_flip_short,funding_flip_long,flush_rebound_long,global_longs_crowded_short,top_longs_crowded_short,taker_sell_pressure_short,taker_buy_pressure_long,signal_score_short,signal_score_long,signal
2026-05-25 08:00:00,77401.11,77699.97,77280.32,77357.5,1214.44703,3.527e-05,99486.117,7710297345.267229,0.5171,0.4829,1.0708,0.5291,0.4709,1.1237,0.5222,0.4778,1.0929,1.284,7668.42,5972.136,-0.000563557736632192,0.00048422104173218017,0.034329594107446626,0.020917249172228924,0.0065835146907659075,5.9075000000000006e-05,-0.027100360613729467,6.549e-05,6.549e-05,-0.017892526752959714,-0.054683599877226596,-0.44671503165083465,1.6847087557484677,76798.41743275528,77268.24139491393,0.0027499696813060304,up,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-25 12:00:00,77357.5,77905.52,77286.5,77628.82,1563.39696,3.527e-05,99512.567,7729787910.5755,0.5101,0.4899,1.0412,0.524,0.476,1.101,0.5155,0.4845,1.064,1.0042,7633.145,7601.49,0.0035073522282909053,0.016462011593578296,0.027923993644067835,0.023618016502864325,0.00260582620241851,5.4470000000000005e-05,-0.026921409897956775,3.527e-05,6.549e-05,-0.010950574923943246,-0.04565283976601342,-0.22745303948080847,-0.07128361153127831,76877.5033915405,77282.38173236829,0.0040525419688459685,up,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-25 16:00:00,77628.82,77807.29,77343.61,77441.86,1121.16576,1.426e-05,99866.093,7740809239.183153,0.5064,0.4936,1.0259,0.5236,0.4764,1.0991,0.5109,0.4891,1.0446,0.8138,4041.878,4966.836,-0.0024083838965993642,0.008707710254627576,0.01919378496238333,0.023618016502864325,0.0029704108634639142,4.640500000000001e-05,-0.7288842464257886,3.527e-05,3.527e-05,-0.0019405904255564987,-0.045027815525586545,0.0564687425165986,-1.25285163642473,76931.25163996521,77288.63578207933,0.004496970932579947,up,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-25 20:00:00,77441.85,77500.0,77019.82,77322.01,1056.37837,1.426e-05,99852.244,7697080273.0668,0.5019,0.4981,1.0076,0.5247,0.4753,1.1041,0.507,0.493,1.0284,0.9755,4735.664,4854.76,-0.0015476126219076125,0.003335497741126403,0.0074265156052590875,0.012887988896725933,0.002926456561051809,3.834e-05,-0.7216799902677767,1.426e-05,3.527e-05,0.005259164183593068,-0.031461403532493715,0.28317573453813194,-0.23336362171181707,76968.46672187328,77289.94457493897,0.004385730018978684,up,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-26 00:00:00,77322.01,77345.0,76475.59,76664.01,2145.81269,8.058e-05,99758.0,7644535346.4,0.5028,0.4972,1.0113,0.5264,0.4736,1.1113,0.5085,0.4915,1.0346,0.8761,8641.673,9864.133,-0.008509866724882076,-0.004708239366962186,-0.0011203908794789053,0.01869786163140441,0.004759079317261571,4.085500000000001e-05,1.4992141542240278,1.426e-05,1.426e-05,0.004216758090375805,-0.030184517705349467,0.24799551544109588,-0.8534144622385893,76939.47084359963,77265.3981210198,0.003515607821140243,sideway,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-26 04:00:00,76664.0,77059.74,76603.73,76730.84,2043.2043,8.058e-05,99069.068,7615429350.2532,0.5201,0.4799,1.0838,0.5303,0.4697,1.129,0.5293,0.4707,1.1245,1.038,6389.906,6156.037,0.0008717258593700095,-0.008659823010312984,-0.000900390742238466,0.01869786163140441,0.004037842668718457,4.3370000000000007e-05,1.4688020924471608,8.058e-05,1.426e-05,-0.010593954914878134,-0.03332923256293763,-0.2274455731626958,0.17278093749282442,76919.60123944728,77244.43505745039,0.002346046650192557,sideway,False,False,False,False,False,False,True,False,False,3,0,short
2026-05-26 08:00:00,76730.84,77621.75,76586.94,77183.55,1896.99632,3.852e-05,98708.766,7640571773.9832,0.5276,0.4724,1.1169,0.5308,0.4692,1.1313,0.5356,0.4644,1.1533,1.0615,10729.755,10108.505,0.005899974508294381,-0.0022486507449180904,-0.0017655185471919799,0.01869786163140441,0.005053461207012524,4.391166666666667e-05,0.06238461140811078,8.058e-05,8.058e-05,-0.007813663086277622,-0.02556638366342745,-0.13635673251748226,0.3206239010631503,76944.73921664277,77242.04740813862,0.0019052708217017766,sideway,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-26 12:00:00,77183.56,78080.0,76272.63,76518.1,4834.0846,3.852e-05,97219.84,7473999274.118854,0.5237,0.4763,1.0995,0.5326,0.4674,1.1397,0.5302,0.4698,1.1286,0.9674,32810.586,33917.049,-0.008621655780279514,-0.01430808815591944,0.0019183835245542014,0.023696180399181088,0.005592113955030858,4.445333333333334e-05,0.06200166111162797,3.852e-05,8.058e-05,-0.02303957247932309,-0.033737850838616024,-0.6275430006172114,-0.28179035919206574,76904.10691029584,77213.65731370181,0.00034605076363969367,sideway,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-26 16:00:00,76518.1,76710.01,75779.3,76052.0,4688.69854,5.776e-05,98698.342,7483288550.7716,0.5462,0.4538,1.2036,0.5424,0.4576,1.1853,0.5512,0.4488,1.2282,1.0185,17825.542,17502.254,-0.006091369231593591,-0.01794714124893182,-0.009395709500198857,0.03036053381332371,0.005793573077126006,5.1703333333333344e-05,0.7068128887954321,3.852e-05,3.852e-05,-0.01169316797043407,-0.013611066746182732,-0.2538317627003103,0.04797525304060594,76822.95387122004,77168.1021249292,-0.0014077213932771615,down,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-26 20:00:00,76052.0,76180.0,75677.97,75930.01,1344.67984,5.776e-05,99180.25,7510890578.425,0.564,0.436,1.2936,0.5614,0.4386,1.2798,0.5684,0.4316,1.317,0.9684,5396.191,5572.397,-0.0016040340819439836,-0.018002635989416205,-0.014727185999966919,0.03174014842100026,0.005790789733332193,5.895333333333334e-05,0.7004634633745696,5.776e-05,3.852e-05,-0.006729883807118142,-0.0015061131874031242,-0.08952651998779368,-0.275848394188489,76737.91159777052,77119.54949257903,-0.0029954490965224956,down,False,False,False,False,False,False,False,False,False,0,0,hold
2026-05-27 00:00:00,75930.01,76104.02,75607.62,75683.0,2404.25109,0.0001,99712.863,7563310400.1267,0.5725,0.4275,1.3392,0.5619,0.4381,1.2826,0.5772,0.4228,1.3652,0.9687,6033.083,6228.061,-0.0032531274525051668,-0.012796226025745261,-0.01744421769758442,0.03270014318662606,0.005154859613265554,6.219e-05,2.0703481286736456,5.776e-05,5.776e-05,-0.00045246496521589297,0.003762385189857387,0.1181424765593488,-0.272149179852893,76637.44382655428,77063.21421836024,-0.003925514612120207,down,False,False,False,False,False,False,True,False,False,3,0,short
2026-05-27 04:00:00,75683.0,75980.0,75310.9,75977.17,2224.40852,0.0001,100591.795,7624908831.428227,0.5801,0.4199,1.3815,0.5613,0.4387,1.2792,0.5765,0.4235,1.3613,0.9653,8910.891,9231.106,0.003886870235059403,-0.009822256605036439,-0.01839702061158799,0.03676891392879389,0.005631316974763107,6.542666666666667e-05,2.007685692698678,0.0001,5.776e-05,0.015370357577200622,0.004613569787123906,0.6411453259278508,-0.2926292623305501,76574.56060497768,77020.62424901278,-0.004485730930865017,down,True,False,False,False,False,False,True,False,False,6,0,short
2026-05-27 08:00:00,75977.16,76071.41,75710.76,75769.18,1291.66875,8.948e-05,101083.438,7669042429.884025,0.5913,0.4087,1.4468,0.5675,0.4325,1.3119,0.5879,0.4121,1.4266,0.8943,5755.866,6436.336,-0.002737532866781023,-0.018324759615229058,-0.020532204375787844,0.03676891392879389,0.0042577158997527485,7.392e-05,1.6274231346699155,0.0001,0.0001,0.024057356770117,0.016055717603291386,0.9217175769447301,-0.75490207647521,76497.8576902179,76971.54800395346,-0.005807824303187825,down,True,False,False,False,False,True,True,True,False,10,0,short
